energy
104.5
108.5
110.5
113.5
116.5
121
130
146
153
166
168
175
198
208
240
273
312
318
324
341
343
348
351
359
376
386
420
427
435
448
459
496
511
518
572
584
592
621
640
656
667
702
719
818
843
881
911
938
962
1014
1047
