ge0 energy,ge0 e_unc,ge0 sigma,ge0 sig_unc,ge2 energy,ge2 e_unc,ge2 sigma,ge2 sig_unc,ge4 energy,ge4 e_unc,ge4 sigma,ge4 sig_unc,ge6 energy,ge6 e_unc,ge6 sigma,ge6 sig_unc
nan,nan,nan,nan,104.8730989134407,0.0026249664738281363,0.46286009236895326,0.0031470016277345587,104.37425849020117,0.014359121739396581,0.7247437528883942,0.03456787364012221,nan,nan,nan,nan
nan,nan,nan,nan,108.43809369307013,0.0034683558196230077,0.4676205532868697,0.0038435475466809736,107.9103686793821,0.023806098761065212,0.7159617773331557,0.02868629800656673,nan,nan,nan,nan
nan,nan,nan,nan,110.20611350006418,0.05111936022952526,0.47091866635038326,0.05568442647008404,111.04965121151436,0.2975615470625989,1.7869236622937272,0.4647121218104182,nan,nan,nan,nan
nan,nan,nan,nan,113.66877756204092,0.04932446748379138,-0.42906894596091777,0.05235640719005151,114.3338382193518,0.17701179368735034,0.44541143478419487,0.22366540172583774,nan,nan,nan,nan
nan,nan,nan,nan,116.2842609879946,0.03174213514988552,0.47647110670912646,0.034535878820285804,112.42894098089947,16.95854565409018,-0.06616041485746406,106.9721651727052,nan,nan,nan,nan
129.96980659601124,0.15040462689796164,0.6198790503559829,0.16068380187076017,130.09898796588482,0.04175785210773263,0.4464316723424311,0.043719546161438874,129.5336786748324,0.14014103584017457,1.0037825685238182,0.15870710658266787,129.90573363390016,0.060981031041506095,0.7878648081054553,0.06648866171127492
145.96102505622738,0.12404160908692634,0.6953041615801444,0.1316620319738027,145.96242232038153,0.0443424605263139,0.5409675751377649,0.0463588032687085,145.38762183777382,0.10256939617638697,0.7185419157916784,0.11023699773659112,145.85453690613429,0.04593123880242211,0.5874122104265869,0.048347475332892215
153.2403163554058,0.12600911877047538,0.2773154291161057,0.12838826588889682,153.2134623411563,0.05070782749387116,0.3988532131387501,0.05210349021506511,152.79540642352603,0.1230274975272536,0.5865041962326486,0.12815211444878286,152.9550435951465,0.09548387921118284,0.6585043934728447,0.10008136551048795
166.57708117796372,0.0642056287587302,0.7102634475597841,0.07175145332323879,166.60783957481166,0.01939515180747074,0.448836506155421,0.020076135730814484,166.1864425655256,0.030942653827116882,0.6235227636493623,0.03527482369084239,166.45365381462267,0.025519670345802957,0.6079519177708613,0.02712135972379658
169.23717520773275,0.2558310612787142,0.8279089131718541,0.3181231288132867,169.1880272133867,0.07067746526476813,0.41452583020156253,0.07257608111155012,167.4570104239437,1.7841594676256165,6.974313407180778,3.157693440290496,169.01380747334153,0.06631009219215606,0.5738714142772037,0.06971316370021283
