theta3  E4(MeV)
71.3198  0.733
71.0811  0.7288
70.8421  0.7246
70.6029  0.7204
70.3633  0.7163
70.1234  0.7121
69.8831  0.7079
69.6426  0.7037
69.4017  0.6995
69.1605  0.6953
68.9189  0.6911
68.677  0.6869
68.4347  0.6827
68.1921  0.6786
67.9491  0.6744
67.7057  0.6702
67.4619  0.666
67.2178  0.6618
66.9732  0.6576
66.7283  0.6534
66.4829  0.6492
66.2371  0.6451
65.9909  0.6409
65.7443  0.6367
65.4973  0.6325
65.2498  0.6283
65.0018  0.6241
64.7534  0.6199
64.5045  0.6157
64.2552  0.6115
64.0054  0.6074
63.755  0.6032
63.5042  0.599
63.2529  0.5948
63.0011  0.5906
62.7488  0.5864
62.4959  0.5822
62.2425  0.578
61.9885  0.5739
61.734  0.5697
61.4789  0.5655
61.2232  0.5613
60.967  0.5571
60.7102  0.5529
60.4527  0.5487
60.1947  0.5445
59.936  0.5403
59.6767  0.5362
59.4168  0.532
59.1562  0.5278
58.8949  0.5236
58.633  0.5194
58.3704  0.5152
58.1071  0.511
57.843  0.5068
57.5783  0.5027
57.3128  0.4985
57.0466  0.4943
56.7796  0.4901
56.5119  0.4859
56.2433  0.4817
55.974  0.4775
55.7039  0.4733
55.4329  0.4692
55.1611  0.465
54.8884  0.4608
54.6149  0.4566
54.3405  0.4524
54.0652  0.4482
53.789  0.444
53.5118  0.4398
53.2337  0.4356
52.9547  0.4315
52.6746  0.4273
52.3936  0.4231
52.1115  0.4189
51.8284  0.4147
51.5443  0.4105
51.2591  0.4063
50.9728  0.4021
50.6853  0.398
50.3968  0.3938
50.107  0.3896
49.8161  0.3854
49.524  0.3812
49.2307  0.377
48.9361  0.3728
48.6403  0.3686
48.3431  0.3644
48.0447  0.3603
47.7448  0.3561
47.4436  0.3519
47.141  0.3477
46.837  0.3435
46.5315  0.3393
46.2244  0.3351
45.9159  0.3309
45.6058  0.3268
45.2941  0.3226
44.9807  0.3184
44.6657  0.3142
44.349  0.31
44.0305  0.3058
43.7103  0.3016
43.3882  0.2974
43.0642  0.2932
42.7384  0.2891
42.4105  0.2849
42.0807  0.2807
41.7488  0.2765
41.4148  0.2723
41.0786  0.2681
40.7403  0.2639
40.3996  0.2597
40.0566  0.2556
39.7112  0.2514
39.3633  0.2472
39.0129  0.243
38.6599  0.2388
38.3042  0.2346
37.9458  0.2304
37.5845  0.2262
37.2203  0.2221
36.8531  0.2179
36.4828  0.2137
36.1093  0.2095
35.7325  0.2053
35.3522  0.2011
34.9685  0.1969
34.5811  0.1927
34.1899  0.1885
33.7949  0.1844
33.3958  0.1802
32.9925  0.176
32.5848  0.1718
32.1726  0.1676
31.7558  0.1634
31.334  0.1592
30.9072  0.155
30.475  0.1509
30.0374  0.1467
29.5939  0.1425
29.1444  0.1383
28.6885  0.1341
28.226  0.1299
27.7566  0.1257
27.2797  0.1215
26.7952  0.1173
26.3024  0.1132
25.8011  0.109
25.2906  0.1048
24.7703  0.1006
24.2397  0.0964
23.698  0.0922
23.1446  0.088
22.5784  0.0838
21.9985  0.0797
21.4038  0.0755
20.7931  0.0713
20.1648  0.0671
19.5172  0.0629
