0,2414.8004174386433,2424.902280523941,2440.78489144648,2450.1485738025613,2452.788018733265
1,2411.2295079865094,2421.408884909536,2436.818353167096,2446.5660633281277,2449.1943945335497
2,2411.1474210785523,2421.2443936507343,2437.0532263021905,2446.524618980166,2449.1900224800565
3,2422.25624121152,2431.4433991284723,2447.670280283838,2457.3243796303504,2460.007848982697
4,2406.9188584718245,2416.759755874468,2432.525580137047,2442.128911137737,2444.7168217573794
5,2408.486279400601,2419.098387141524,2434.0827939468118,2443.6338010509176,2446.272483953676
6,2427.3674626227885,2437.543897507704,2437.543897507704,2462.7894984677855,2465.4291193025183
7,2414.5343370230676,2424.696718756414,2424.696718756414,2449.738376821004,2452.3806159258006
8,2444.91839827189,2455.4886814807996,2471.178679622297,2480.352880980858,2483.048007026404
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
16,2418.714816548408,2428.8984129982796,2444.568204807394,2454.109675755715,2456.736244306011
17,2412.5766181382173,2422.572716450244,2438.481719644977,2447.958467920831,2450.5383479709567
18,2398.755882469317,2408.9706066502213,2424.9063505095746,2434.3329857901826,2436.959179418571
19,2410.483229370544,2421.018502144297,2421.018502144297,2445.922218011415,2448.572873913024
20,2407.387207603742,2417.244643268621,2432.567425254523,2442.1288835092164,2444.770456394719
21,2408.5809222759276,2418.8920359721924,2434.3597670205286,2443.890799199598,2446.545394534434
27,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0
