# p + 207Pb Total neutron  production
# Q-value    =-3.17977E+00
# 
# # energies =    54
#    E         xs         Yield
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 6.13047E-04 7.21967E-01
 5.00000E+00 3.97015E-02 9.94395E-01
 6.00000E+00 6.13802E-01 9.97724E-01
 7.00000E+00 4.56891E+00 9.98413E-01
 8.00000E+00 2.01283E+01 9.98721E-01
 9.00000E+00 5.96279E+01 9.98857E-01
 1.00000E+01 1.32286E+02 9.98824E-01
 1.10000E+01 2.40359E+02 9.98565E-01
 1.20000E+01 4.45909E+02 1.17716E+00
 1.30000E+01 8.22398E+02 1.54633E+00
 1.40000E+01 1.20904E+03 1.77414E+00
 1.50000E+01 1.53688E+03 1.88225E+00
 1.60000E+01 1.78661E+03 1.91083E+00
 1.70000E+01 1.99224E+03 1.91645E+00
 1.80000E+01 2.16522E+03 1.90960E+00
 1.90000E+01 2.33356E+03 1.91225E+00
 2.00000E+01 2.59754E+03 1.99935E+00
 2.20000E+01 3.32110E+03 2.31841E+00
 2.40000E+01 3.86177E+03 2.50983E+00
 2.60000E+01 4.15782E+03 2.55668E+00
 2.80000E+01 4.36059E+03 2.56787E+00
 3.00000E+01 4.68384E+03 2.66539E+00
 3.50000E+01 5.67093E+03 3.02858E+00
 4.00000E+01 6.21479E+03 3.19300E+00
 4.50000E+01 6.80411E+03 3.41409E+00
 5.00000E+01 7.24324E+03 3.58972E+00
 5.50000E+01 7.62052E+03 3.75785E+00
 6.00000E+01 7.97307E+03 3.93275E+00
 6.50000E+01 8.24765E+03 4.08391E+00
 7.00000E+01 8.54382E+03 4.25712E+00
 7.50000E+01 8.73119E+03 4.38482E+00
 8.00000E+01 8.94383E+03 4.53157E+00
 9.00000E+01 9.39074E+03 4.84986E+00
 1.00000E+02 9.81448E+03 5.16788E+00
 1.10000E+02 1.02225E+04 5.48355E+00
 1.20000E+02 1.06090E+04 5.78973E+00
 1.30000E+02 1.09920E+04 6.09372E+00
 1.40000E+02 1.13625E+04 6.38907E+00
 1.50000E+02 1.17825E+04 6.71005E+00
 1.60000E+02 1.22399E+04 7.05021E+00
 1.80000E+02 1.32938E+04 7.80579E+00
 2.00000E+02 1.40645E+04 8.38633E+00
