============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(5 MeV) ==> Xe gas( 25.3 mm) ============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  1 .4480342E+07   2540000E+02  .4702E+06 -.4708E+07   .9991509  .0238179 -.0336188
T   55  1 .4484555E+07   2540000E+02  .2206E+07 -.4044E+07   .9994354  .0272622 -.0196391
T   56  1 .4483464E+07   2540000E+02  .2469E+07  .4263E+06   .9995861  .0283689 -.0047689
T   57  1 .4488492E+07   2540000E+02  .6825E+06  .4259E+07   .9976955  .0568122  .0370966
T   58  1 .4500006E+07   2540000E+02  .1131E+08  .7596E+07   .9965725  .0519608  .0643690
T   59  1 .4493815E+07   2540000E+02 -.6802E+06 -.3075E+07   .9991325 -.0278979 -.0309201
T   60  1 .4467286E+07   2540000E+02  .5269E+06  .2634E+07   .9999497 -.0099681  .0011259
T   61  1 .4458995E+07   2540000E+02 -.5606E+07  .2937E+07   .9991016 -.0411669  .0100679
T   62  1 .4513568E+07   2540000E+02 -.5466E+07 -.4916E+07   .9990313 -.0273473 -.0344754
T   63  1 .4483131E+07   2540000E+02  .3993E+07 -.2741E+07   .9996104  .0279023 -.0007704
T   64  1 .4487140E+07   2540000E+02  .1304E+07  .5788E+04   .9998876  .0113210  .0098291
T   65  1 .4440511E+07   2540000E+02 -.3631E+07  .2495E+07   .9982584 -.0287117  .0515355
T   66  1 .4545212E+07   2540000E+02  .2593E+07  .1343E+07   .9997856  .0204695 -.0031322
T   67  1 .4525648E+07   2540000E+02  .4189E+07 -.4711E+06   .9992679  .0349576 -.0155473
T   68  1 .4533462E+07   2540000E+02  .6021E+07 -.6581E+07   .9970895  .0560634 -.0516655
