============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(25 MeV) ==> Havar window( 2.53 um) =====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 .4924772E+07   2540205E-02 -.6158E+02  .3668E+02   .9999534 -.0096289 -.0007217
T    2  1 .4930411E+07   2540074E-02 -.1571E+02 -.1608E+03   .9999445 -.0015009 -.0104254
T    3  1 .4935441E+07   2540231E-02  .1032E+02 -.1452E+01   .9999668  .0057040 -.0058170
T    4  1 .4905714E+07   2540127E-02  .1436E+03  .7990E+02   .9999202  .0086531  .0092050
T    5  1 .4940953E+07   2540131E-02 -.3223E+02 -.4239E+02   .9998968 -.0088493 -.0113178
T    6  1 .4932538E+07   2540004E-02 -.1357E+03  .8209E+02   .9997824 -.0208533 -.0005617
T    7  1 .4901555E+07   2540250E-02 -.2208E+02 -.1202E+03   .9999786 -.0060345 -.0025447
T    8  1 .4929723E+07   2540218E-02 -.6087E+01 -.6525E+02   .9999303 -.0040703 -.0110822
T    9  1 .4886385E+07   2540087E-02  .9817E+04  .8411E+04   .8012288  .4528825  .3910624
T   10  1 .4925023E+07   2540019E-02  .4595E+01  .5542E+02   .9999258  .0023304  .0119557
T   11  1 .4932168E+07   2540015E-02 -.1906E+03  .1704E+03   .9997806 -.0165470  .0128449
T   12  1 .4895553E+07   2540151E-02 -.8494E+01  .6823E+02   .9999297  .0025526  .0115793
T   13  1 .4924181E+07   2540249E-02  .4600E+02  .6553E+02   .9999623  .0083330  .0024542
T   14  1 .4932975E+07   2540001E-02 -.4538E+03 -.3434E+03   .9989175 -.0379394 -.0269161
T   15  1 .4914368E+07   2540092E-02 -.2057E+03 -.5605E+02   .9997154 -.0165844 -.0171473
T   16  1 .4918858E+07   2540080E-02  .7212E+02 -.4495E+02   .9998775  .0128851 -.0088881
T   17  1 .4921886E+07   2540053E-02  .2666E+02  .6476E+02   .9999721  .0027189  .0069586
T   18  1 .4909664E+07   2540121E-02  .3835E+01  .4470E+02   .9999955 -.0021400  .0021125
T   19  1 .4915014E+07   2540007E-02  .7093E+02  .3706E+02   .9998131  .0175009  .0082201
T   20  1 .4927256E+07   2540159E-02 -.5587E+03 -.3065E+03   .9990438 -.0399466 -.0177706
T   21  1 .4925655E+07   2540252E-02 -.7744E+02  .5685E+01   .9999933 -.0035053  .0010173
T   22  1 .4915498E+07   2540140E-02  .1956E+02  .3160E+02   .9999632  .0064734  .0056319
T   23  1 .4906357E+07   2540145E-02 -.1286E+02 -.7210E+02   .9999267 -.0001822 -.0121094
T   24  1 .4915357E+07   2540104E-02  .7205E+02 -.1833E+02   .9999961 -.0027960  .0000285
T   25  1 .4941692E+07   2540215E-02  .1818E+02 -.1351E+03   .9998721  .0089429 -.0132612
T   26  1 .4928535E+07   2540108E-02  .1937E+02 -.2462E+01   .9999866  .0051661 -.0001737
T   27  1 .4918340E+07   2540026E-02  .1536E+03 -.1396E+03   .9999269  .0031133 -.0116830
T   28  1 .4931956E+07   2540147E-02  .5772E+02  .3953E+02   .9998648  .0125292  .0106511
T   29  1 .4917206E+07   2540258E-02 -.8074E+01 -.3034E+02   .9999502 -.0008538 -.0099478
T   30  1 .4932975E+07   2540061E-02 -.5923E+02  .4852E+02   .9999883 -.0011993  .0046761
T   31  1 .4908985E+07   2540186E-02  .1511E+02 -.2511E+01   .9999942 -.0009533 -.0032606
T   32  1 .4908579E+07   2540089E-02 -.4833E+02 -.2696E+03   .9944290 -.0366055 -.0988484
T   33  1 .4939554E+07   2540155E-02 -.3383E+01  .5869E+02   .9999774  .0061372  .0027616
T   34  1 .4911304E+07   2540149E-02  .9913E+02 -.1103E+02   .9997469  .0215455  .0064819
T   35  1 .4909225E+07   2540086E-02 -.4924E+01  .1000E+03   .9997961 -.0028488  .0199886
T   36  1 .4910230E+07   2540125E-02 -.6728E+02 -.6023E+02   .9997676 -.0172852 -.0128823
T   37  1 .4918682E+07   2540103E-02  .7175E+02 -.6432E+02   .9999626  .0060894 -.0061334
T   38  1 .4920405E+07   2540135E-02  .2590E+03 -.4652E+02   .9996646  .0253787 -.0051491
T   39  1 .4924035E+07   2540208E-02 -.4814E+02 -.2474E+02   .9999082 -.0129247 -.0040557
T   40  1 .4919453E+07   2540198E-02  .8703E+02  .9252E+02   .9998996  .0110264  .0089053
T   41  1 .4907216E+07   2540141E-02  .1814E+02 -.1595E+02   .9999723 -.0057774 -.0046991
T   42  1 .4927927E+07   2540181E-02  .1548E+03  .3408E+02   .9998593  .0164122 -.0034807
T   43  1 .4926732E+07   2540224E-02 -.1923E+02 -.3256E+02   .9998890 -.0126837 -.0078153
T   44  1 .4921451E+07   2540113E-02 -.2108E+02  .8905E+02   .9998276  .0030051  .0183253
T   45  1 .4951216E+07   2540038E-02 -.1596E+02  .3986E+02   .9999628  .0025239  .0082473
T   46  1 .4914815E+07   2540202E-02  .1220E+03  .5094E+01   .9996711  .0255056 -.0026922
T   47  1 .4933976E+07   2540034E-02 -.1137E+03 -.2960E+01   .9997866 -.0196887 -.0062601
T   48  1 .4908718E+07   2540075E-02 -.2683E+03 -.1727E+03   .9997518 -.0213699 -.0062903
T   49  1 .4920695E+07   2540249E-02 -.9042E+02 -.8952E+02   .9998262 -.0151890 -.0108119
T   50  1 .4917932E+07   2540064E-02  .9215E+02  .1190E+03   .9996812 -.0115473  .0224540
T   51  1 .4945868E+07   2540172E-02  .5964E+02  .5413E+02   .9999464  .0103291 -.0006692
T   52  1 .4924068E+07   2540232E-02 -.1928E+03 -.6632E+02   .9999836 -.0050557 -.0026896
T   53  1 .4910426E+07   2540087E-02  .6447E+01  .1291E+02   .9999821 -.0057637  .0016362
T   54  1 .4933430E+07   2540225E-02  .3093E+02 -.1951E+02   .9999824  .0048772 -.0033651
T   55  1 .4916782E+07   2540237E-02 -.4971E+02  .2392E+02   .9998574 -.0161212 -.0050278
T   56  1 .4919872E+07   2540238E-02  .6940E+01 -.3418E+02   .9997012  .0066809 -.0235120
T   57  1 .4937793E+07   2540240E-02 -.6138E+02 -.3074E+01   .9999602 -.0089189  .0002811
T   58  1 .4909446E+07   2540181E-02  .2573E+02  .8832E+01   .9999909  .0036655  .0021832
T   59  1 .4928281E+07   2540175E-02 -.1133E+02  .8991E+03   .9941576 -.0078592  .1076516
T   60  1 .4917086E+07   2540054E-02 -.1558E+02  .5040E+02   .9998556  .0128954  .0110641
T   61  1 .4938781E+07   2540135E-02  .4004E+02  .7492E+01   .9999609  .0087216 -.0014858
T   62  1 .4941837E+07   2540036E-02 -.5989E+02  .1293E+02   .9999412 -.0108456 -.0000083
T   63  1 .4946145E+07   2540006E-02  .6111E+02  .7517E+01   .9999949  .0030340  .0009507
T   64  1 .4891522E+07   2540114E-02 -.1135E+03  .6765E+02   .9999597 -.0084032  .0031622
T   65  1 .4905153E+07   2540167E-02  .4432E+02  .1279E+02   .9999689  .0076355  .0019922
T   66  1 .4927413E+07   2540073E-02 -.9382E+01  .5539E+02   .9999152 -.0039526  .0124046
T   67  1 .4916810E+07   2540129E-02 -.7957E+01  .1523E+02   .9999743 -.0028037  .0066032
T   68  1 .4915910E+07   2540176E-02  .2262E+02  .3713E+02   .9999523 -.0009846  .0097150
T   69  1 .4926091E+07   2540039E-02 -.1178E+02  .6797E+02   .9998431 -.0041207  .0172275
T   70  1 .4921116E+07   2540092E-02 -.2693E+03  .6976E+02   .9996897 -.0246126  .0038371
